Node,Entrance,LSB,ALB,TLB,FLB,Cinderella's Castle,Swiss Family Treehouse,The Magic Carpets of Aladdin,Jungle Cruise,Enchanted Tiki Room,Pirates of the Caribbean,ALB1,FLB1,Splash Mountain,Big Thunder Mountain Railroad,Country Bear Jamboree,The Hall of Presidents,Haunted Mansion,Liberty Square Riverboat,FLB2,Prince Charming Regal Carrousel,Peter Pan's Flight,It's a Small World,Under the Sea - Journey of The Little Mermaid,The Barnstormer,Dumbo the Flying Elephant,Mad Tea Party,The Many Adventures of Winnie the Pooh,Seven Dwarfs Mine Train,BC,Tomorrowland Speedway,Space Mountain,Astro Orbiter,PeopleMover,Carousel of Progress,Buzz Lightyear's Space Ranger Spin,Monsters Inc. Laugh Floor
Entrance,0,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSB,NA,0,0,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,NA,0,0,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLB,NA,NA,NA,0,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FLB,NA,NA,NA,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinderella's Castle,9,10,2,8,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swiss Family Treehouse,NA,NA,2,NA,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Magic Carpets of Aladdin,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jungle Cruise,NA,NA,NA,NA,NA,NA,2,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchanted Tiki Room,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pirates of the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
